employer_key,linkedin_name,match_key,match_kind,term_source
asml,ASML,asml,prefix,brand
abbvie,AbbVie,abbvie,prefix,brand
accenture,Accenture,accenture,prefix,brand
amazon,Amazon,amazon,prefix,brand
american-express,American Express,american-express,prefix,brand
cvs-health,CVS Health,cvs-health,prefix,brand
capital-one,Capital One,capital-one,prefix,brand
citi,Citi,citi,prefix,brand
citi,Citi,citibank,prefix,manual_alias
citi,Citi,citigroup,prefix,manual_alias
comcast,Comcast,comcast,prefix,brand
delta-air-lines,Delta Air Lines,delta-air-lines,prefix,brand
google,Google,google,prefix,brand
groupe-credit-agricole,Groupe Crédit Agricole,groupe-credit-agricole,prefix,brand
jpmorganchase,JPMorganChase,jp-morgan,prefix,manual_alias
jpmorganchase,JPMorganChase,jpmorgan,prefix,manual_alias
jpmorganchase,JPMorganChase,jpmorganchase,prefix,brand
salesforce,Salesforce,salesforce,prefix,brand
shell,Shell,shell,prefix,brand
stryker,Stryker,stryker,prefix,brand
the-walt-disney-company,The Walt Disney Company,the-walt-disney,prefix,brand:stripped
the-walt-disney-company,The Walt Disney Company,the-walt-disney-company,prefix,brand
alphabet-google,Alphabet/Google,alphabet,prefix,brand
alphabet-google,Alphabet/Google,alphabet-google,prefix,linkedin_name
alphabet-google,Alphabet/Google,google,prefix,brand
amadeus,Amadeus,amadeus,prefix,brand
apple,Apple,apple,prefix,brand
astrazeneca,AstraZeneca,astrazeneca,prefix,brand
bbva,BBVA,bbva,prefix,brand
mass-general-brigham,Mass General Brigham,mass-general-brigham,prefix,brand
mcdonald-s,McDonald's,mcdonald-s,prefix,brand
medtronic,Medtronic,medtronic,prefix,brand
micron-technology,Micron Technology,micron-technology,prefix,brand
microsoft,Microsoft,microsoft,prefix,brand
nvidia,NVIDIA,nvidia,prefix,brand
schneider-electric,Schneider Electric,schneider-electric,prefix,brand
sysco,Sysco,sysco,prefix,brand
wellstar-health-system,Wellstar Health System,wellstar-health-system,prefix,brand
at-and-t,AT&T,at-and-t,prefix,brand
at-and-t,AT&T,att,prefix,manual_alias
bank-of-america,Bank of America,bank-of-america,prefix,brand
caixabank,CaixaBank,caixabank,prefix,brand
emory-healthcare,Emory Healthcare,emory-healthcare,prefix,brand
exxonmobil,ExxonMobil,exxonmobil,prefix,brand
merck,Merck,merck,prefix,brand
sap,SAP,sap,exact,brand
sap,SAP,sap,prefix,manual_alias
sanofi,Sanofi,sanofi,prefix,brand
siemens,Siemens,siemens,prefix,brand
united-airlines,United Airlines,united-airlines,prefix,brand
vertex-pharmaceuticals,Vertex Pharmaceuticals,vertex-pharmaceuticals,prefix,brand
amgen,Amgen,amgen,prefix,brand
ey,EY,ernst-and-young,prefix,manual_alias
ey,EY,ernst-young,prefix,manual_alias
ey,EY,ey,exact,brand
eli-lilly-and-company,Eli Lilly and Company,eli-lilly-and,prefix,brand:stripped
eli-lilly-and-company,Eli Lilly and Company,eli-lilly-and-company,prefix,brand
fidelity-investments,Fidelity Investments,fidelity-investments,prefix,brand
freddie-mac,Freddie Mac,freddie-mac,prefix,brand
groupe-bpce,Groupe BPCE,groupe-bpce,prefix,brand
incyte,Incyte,incyte,prefix,brand
the-home-depot,The Home Depot,the-home-depot,prefix,brand
venture-global-lng,Venture Global LNG,venture-global-lng,prefix,brand
adobe,Adobe,adobe,prefix,brand
anduril-industries,Anduril Industries,anduril-industries,prefix,brand
bnp-paribas,BNP Paribas,bnp-paribas,prefix,brand
bloomberg,Bloomberg,bloomberg,prefix,brand
cencora,Cencora,cencora,prefix,brand
leonardo,Leonardo,leonardo,prefix,brand
lockheed-martin,Lockheed Martin,lockheed-martin,prefix,brand
pwc,PwC,pricewaterhouse,prefix,manual_alias
pwc,PwC,pwc,exact,brand
pwc,PwC,pwc,prefix,manual_alias
rabobank,Rabobank,rabobank,prefix,brand
servicenow,ServiceNow,servicenow,prefix,brand
the-coca-cola-company,The Coca-Cola Company,the-coca-cola,prefix,brand:stripped
the-coca-cola-company,The Coca-Cola Company,the-coca-cola-company,prefix,brand
wells-fargo,Wells Fargo,wells-fargo,prefix,brand
american-airlines,American Airlines,american-airlines,prefix,brand
boston-consulting-group-bcg,Boston Consulting Group (BCG),bcg,exact,manual_alias
boston-consulting-group-bcg,Boston Consulting Group (BCG),boston-consulting,prefix,brand:stripped
boston-consulting-group-bcg,Boston Consulting Group (BCG),boston-consulting-group,prefix,brand
boston-consulting-group-bcg,Boston Consulting Group (BCG),boston-consulting-group-bcg,prefix,linkedin_name
ericsson,Ericsson,ericsson,prefix,brand
gsk,GSK,gsk,exact,brand
gilead-sciences,Gilead Sciences,gilead-sciences,prefix,brand
honeywell,Honeywell,honeywell,prefix,brand
l-oreal,L'Oréal,l-oreal,prefix,brand
marriott-international,Marriott International,marriott-international,prefix,brand
northern-trust,Northern Trust,northern-trust,prefix,brand
northrop-grumman,Northrop Grumman,northrop-grumman,prefix,brand
prysmian,Prysmian,prysmian,prefix,brand
reckitt,Reckitt,reckitt,prefix,brand
roche,Roche,roche,prefix,brand
